Rule ID,Severity,Scope,Category,Context,Description,Source File
"BR-OTH-01-10","fatal","Common","Other","cbc:ExpectedCode | cbc:IdentificationCode | cbc:DocumentTypeCode | cbc:ValueCurrencyCode | cbc:ProcedureCode | cbc:ProcurementTypeCode | cbc:ProcurementSubTypeCode","The attribute listID is mandatory for the element: '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-01-11","fatal","Common","Other","cbc:TypeCode | cbc:PropertyGroupTypeCode | cbc:ValueDataTypeCode","The attribute listID is mandatory for the element: '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-01-20","fatal","Common","Other","cbc:ExpectedCode | cbc:IdentificationCode | cbc:DocumentTypeCode | cbc:ValueCurrencyCode | cbc:ProcedureCode | cbc:ProcurementTypeCode | cbc:ProcurementSubTypeCode","The attribute listAgencyID is mandatory for the element: '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-01-21","fatal","Common","Other","cbc:TypeCode | cbc:PropertyGroupTypeCode | cbc:ValueDataTypeCode","The attribute listAgencyID is mandatory for the element: '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-01-30","fatal","Common","Other","cbc:ExpectedCode | cbc:IdentificationCode | cbc:DocumentTypeCode | cbc:ValueCurrencyCode | cbc:ProcedureCode | cbc:ProcurementTypeCode | cbc:ProcurementSubTypeCode","The attribute listVersionID is mandatory for the element: '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-01-31","fatal","Common","Other","cbc:TypeCode | cbc:PropertyGroupTypeCode | cbc:ValueDataTypeCode","The attribute listVersionID is mandatory for the element: '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-01-40","fatal","Common","Other","cbc:TypeCode | cbc:PropertyGroupTypeCode | cbc:ValueDataTypeCode","List version identifier '/listVersionID =' is not correct. ListVersionID should be '5.x.x'.","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-02","fatal","Common","Other","ext:ExtensionAgencyID | ext:ExtensionVersionID | cbc:AccountID | cbc:AdditionalAccountID | cbc:AgencyID | cbc:AircraftID | cbc:AttributeID | cbc:AwardID | cbc:AwardingCriterionID | cbc:BarcodeSymbologyID | cbc:BrokerAssignedID | cbc:BusinessClassificationEvidenceID | cbc:BusinessIdentityEvidenceID | cbc:BuyerEventID | cbc:CV2ID | cbc:CarrierAssignedID | cbc:ChipApplicationID | cbc:CompanyID | cbc:ConsigneeAssignedID | cbc:ConsignorAssignedID | cbc:ConsumptionID | cbc:ConsumptionReportID | cbc:ContractFolderID | cbc:ContractedCarrierAssignedID | cbc:CustomerAssignedAccountID | cbc:CustomizationID | cbc:DocumentID | cbc:ExchangeMarketID | cbc:ExpectedID | cbc:ExtendedID | cbc:FormatID | cbc:FreightForwarderAssignedID | cbc:HazardClassID | cbc:ID | cbc:IdentificationID | cbc:ImmobilizationCertificateID | cbc:InstructionID | cbc:IssueNumberID | cbc:IssuerID | cbc:JourneyID | cbc:LanguageID | cbc:LicensePlateID | cbc:LineID | cbc:LoadingSequenceID | cbc:LocationID | cbc:LogoReferenceID | cbc:LotNumberID | cbc:LowerOrangeHazardPlacardID | cbc:MarkingID | cbc:MinimumImprovementBid | cbc:NationalityID | cbc:NetworkID | cbc:OID| cbc:OpenTenderID | cbc:OriginalContractingSystemID | cbc:OriginalJobID | cbc:ParentDocumentID | cbc:ParentDocumentLineReferenceID | cbc:ParentDocumentVersionID | cbc:ParticipantID | cbc:PaymentID | cbc:PaymentMeansID | cbc:PerformingCarrierAssignedID | cbc:PrepaidPaymentReferenceID | cbc:PreviousJobID | cbc:PreviousVersionID | cbc:PrimaryAccountNumberID | cbc:ProductTraceID | cbc:ProfileExecutionID | cbc:ProfileID | cbc:ProtocolID | cbc:RadioCallSignID | cbc:RailCarID | cbc:ReferenceID | cbc:ReferencedConsignmentID | cbc:RegistrationID | cbc:RegistrationNationalityID | cbc:ReleaseID | cbc:RequestForQuotationLineID | cbc:RequiredCustomsID | cbc:ResponseID | cbc:RevisedForecastLineID | cbc:SalesOrderID | cbc:SalesOrderLineID | cbc:SecurityID | cbc:SellerEventID | cbc:SequenceID | cbc:SequenceNumberID | cbc:SerialID | cbc:ShippingOrderID | cbc:SignatureID | cbc:SpecificationID| cbc:SubscriberID | cbc:SuccessiveSequenceID | cbc:SupplierAssignedAccountID | cbc:TenderEnvelopeID | cbc:TraceID | cbc:TrackingID | cbc:TrainID | cbc:TransportExecutionPlanReferenceID | cbc:UBLVersionID | cbc:UUID | cbc:UpperOrangeHazardPlacardID | cbc:ValidatedCriterionPropertyID | cbc:ValidatorID | cbc:VariantID | cbc:VersionID | cbc:VesselID | cbc:WeighingDeviceID","The attribute schemeAgencyID is mandatory for the element: '', and it should not be empty.","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-02.","fatal","Common","Other","cbc:EndpointID","The attribute schemeAgencyID is mandatory for the element: '', and it should not be empty.","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-04-01","fatal","Request","Cardinality","espd:QualificationApplicationRequest","The element '/cbc:UBLVersionID' is mandatory.","ESPDRequest/sch/02-ESPD-req-cardinality-br.sch"
"BR-OTH-04-01","fatal","Response","Cardinality","espd:QualificationApplicationResponse","The element '/cbc:UBLVersionID' is mandatory.","ESPDResponse/sch/02-ESPD-resp-cardinality-br.sch"
"BR-OTH-04-03","fatal","Request","Cardinality","espd:QualificationApplicationRequest","The element '/cbc:ID' is mandatory.","ESPDRequest/sch/02-ESPD-req-cardinality-br.sch"
"BR-OTH-04-03","fatal","Response","Cardinality","espd:QualificationApplicationResponse","The element '/cbc:ID' is mandatory.","ESPDResponse/sch/02-ESPD-resp-cardinality-br.sch"
"BR-OTH-04-04","fatal","Request","Cardinality","espd:QualificationApplicationRequest","The element '/cbc:UUID' is mandatory.","ESPDRequest/sch/02-ESPD-req-cardinality-br.sch"
"BR-OTH-04-04","fatal","Response","Cardinality","espd:QualificationApplicationResponse","The element '/cbc:UUID' is mandatory.","ESPDResponse/sch/02-ESPD-resp-cardinality-br.sch"
"BR-OTH-04-06","fatal","Request","Cardinality","espd:QualificationApplicationRequest","The element '/cac:TenderingCriterion' is mandatory.","ESPDRequest/sch/02-ESPD-req-cardinality-br.sch"
"BR-OTH-04-06","fatal","Response","Cardinality","espd:QualificationApplicationResponse","The element '/cac:TenderingCriterion' is mandatory.","ESPDResponse/sch/02-ESPD-resp-cardinality-br.sch"
"BR-OTH-04-07","fatal","Response","Cardinality","espd:QualificationApplicationResponse","The element '/cac:TenderingCriterionResponse' is mandatory.","ESPDResponse/sch/02-ESPD-resp-cardinality-br.sch"
"BR-OTH-05-01","fatal","Common","Other","cbc:UBLVersionID","'cbc:UBLVersionID' must use the value ""2.4"" (cbc:UBLVersionID = '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-05-02","fatal","Common","Other","cbc:UBLVersionID","'cbc:UBLVersionID/@schemeAgencyID' must use the value ""OASIS-UBL-TC"" (cbc:UBLVersionID/@schemeAgencyID = '').","common/sch/04-ESPD-common-other-br.sch"
"BR-OTH-08","error","Common","Other","cbc:EndpointID","An end-point identifier MUST have a scheme identifier attribute ('/cac:ServiceProviderParty/cac:Party/cbc:EndpointID/@schemeID').","common/sch/04-ESPD-common-other-br.sch"
"BR-REQ-20-01","warning","Request","Specific","espd:QualificationApplicationRequest","The ESPD only expects data about one buyer ('/cac:ContractingParty'). There are currently '' buyers.","ESPDRequest/sch/05-ESPD-req-procurer-br.sch"
"BR-REQ-20-02","fatal","Request","Specific","cac:ContractingParty/cac:Party","The use of the official name of the contracting body ('/cac:ContractingParty/cac:Party/cac:PartyName/cbc:Name') is mandatory.","ESPDRequest/sch/05-ESPD-req-procurer-br.sch"
"BR-REQ-20-03","fatal","Request","Specific","cac:ContractingParty/cac:Party","The country of the contracting body ('/cac:ContractingParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode') must always be specified.","ESPDRequest/sch/05-ESPD-req-procurer-br.sch"
"BR-REQ-20-04","warning","Request","Specific","cac:ContractingParty/cac:Party","At least one identifier ('cac:ContractingParty/cac:Party/cac:PartyIdentification/cbc:ID') should be specified.","ESPDRequest/sch/05-ESPD-req-procurer-br.sch"
"BR-REQ-20-05","fatal","Request","Specific","cac:ServiceProviderParty/cac:Party","An identifier for the service provider ('/cac:ServiceProviderParty/cac:Party/cac:PartyIdentification/cbc:ID') must always be provided.","ESPDRequest/sch/05-ESPD-req-procurer-br.sch"
"BR-REQ-20-06","fatal","Request","Specific","cac:ServiceProviderParty/cac:Party","The name of the service provider ('/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name') must always be specified.","ESPDRequest/sch/05-ESPD-req-procurer-br.sch"
"BR-REQ-20-07","fatal","Request","Specific","cac:ServiceProviderParty/cac:Party","The country of the service provider ('/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode') must always be specified.","ESPDRequest/sch/05-ESPD-req-procurer-br.sch"
"BR-REQ-30","fatal","Request","Criterion","espd:QualificationApplicationRequest","Both 'Part III, A – Criminal convictions' and 'Part III and B – Payment of taxes' exclusion criterion are REQUIRED.","ESPDRequest/sch/03-ESPD-req-criterion-br.sch"
"BR-REQ-40","warning","Request","Criterion","espd:QualificationApplicationRequest","The current ESPD request does not provide selection criteria.","ESPDRequest/sch/03-ESPD-req-criterion-br.sch"
"BR-RESP-10-02","error","Response","Specific","cac:EconomicOperatorParty","The function of the economic operator ('/cac:EconomicOperatorParty/cac:EconomicOperatorRole') is mandatory.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-03","error","Response","Specific","cac:EconomicOperatorParty","The role of the economic operator ('/cac:EconomicOperatorParty/cac:EconomicOperatorRole/cbc:RoleCode') is mandatory.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-04","error","Response","Specific","cac:EconomicOperatorParty/cac:Party","An identifier that identifies the economic operator ('/cac:EconomicOperatorParty/cac:Party/cac:PartyIdentification/cbc:ID') is mandatory.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-05","error","Response","Specific","cac:EconomicOperatorParty/cac:Party","The name of the economic operator ('/cac:EconomicOperatorParty/cac:Party/cac:PartyName/cbc:Name') is mandatory.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-06","error","Response","Specific","cac:EconomicOperatorParty/cac:Party","The size of the company ('/cac:EconomicOperatorParty/cac:Party/cbc:IndustryClassificationCode') is mandatory.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-07","error","Response","Specific","cac:EconomicOperatorParty/cac:Party","The country of the company ('/cac:EconomicOperatorParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode') is mandatory.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-09","error","Response","Specific","cac:ServiceProviderParty/cac:Party","The name of the service provider ('/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name') must always be specified.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-10","error","Response","Specific","cac:ServiceProviderParty/cac:Party","The country of the service provider ('/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode') must always be specified.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-10-11","error","Response","Specific","cac:ServiceProviderParty/cac:Party","An identifier for the service provider ('/cac:ServiceProviderParty/cac:Party/cac:PartyIdentification/cbc:ID') must always be provided.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-20-01","error","Response","Specific","cac:PowerOfAttorney","Name of the natural person ('/cac:PowerOfAttorney/cac:AgentParty/cac:Person/cbc:FirstName') must always be provided.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-20-02","error","Response","Specific","cac:PowerOfAttorney","Family Name of the natural person ('/cac:PowerOfAttorney/cac:AgentParty/cac:Person/cbc:FamilyName') must always be provided.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-20-03","error","Response","Specific","cac:PowerOfAttorney","A code that identifies the country ('/cac:PowerOfAttorney/cac:AgentParty/cac:Person/cac:ResidenceAddress/cac:Country/cbc:IdentificationCode') must always be provided.","ESPDResponse/sch/05-ESPD-resp-eo-br.sch"
"BR-RESP-40","warning","Response","Specific","espd:QualificationApplicationResponse","Information about compliance of selection criteria MUST be provided. The following selection criterion are not provided:,","ESPDResponse/sch/05-ESPD-resp-qualification-br.sch"
"BR-RESP-80-S10","warning","Response","Specific","espd:QualificationApplicationResponse","When the pre-qualification system the EO is registered on does not cover all the selection criteria, information about compliance of selection criteria MUST be provided. The following selection criterion are not provided:,","ESPDResponse/sch/05-ESPD-resp-qualification-br.sch"
"BR-RESP-80-S20","warning","Response","Specific","espd:QualificationApplicationResponse","When the pre-qualification system the EO is registered on covers all the selection criteria, information about compliance of selection criteria IS NOT required.","ESPDResponse/sch/05-ESPD-resp-qualification-br.sch"
"BR-SC-10","fatal","Request","Specific","espd:QualificationApplicationRequest","Information about the procurement procedure MUST be provided ('/cbc:ProcedureCode).","ESPDRequest/sch/05-ESPD-req-specific-br.sch"
"BR-SUBCONT-01","warning","Response","Specific","espd:QualificationApplicationResponse","If EO role is 'subcont - Subcontractor', the entity does not have to provide information about the selection criteria.","ESPDResponse/sch/05-ESPD-resp-role-br.sch"
"BR-TC-02-01","fatal","Common","Criterion","cac:TenderingCriterion","The identifier of the criterion ('/cac:TenderingCriterion/cbc:ID') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-02-02","fatal","Common","Criterion","cac:TenderingCriterion","Each criterion must use the UUID supplied by e-Certis. The '/cac:TenderingCriterion/cbc:ID =' is not defined in e-Certis.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-03","fatal","Common","Criterion","cac:TenderingCriterion","Classification code ('/cac:TenderingCriterion/cbc:CriterionTypeCode') to represent the criterion in the ESPD taxonomy of criteria is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-04","fatal","Common","Criterion","cac:TenderingCriterion","The criterion type code should match the one from e-Certis. The code '/cac:TenderingCriterion/cbc:CriterionTypeCode =' is not defined in e-Certis.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-05","fatal","Common","Criterion","cac:TenderingCriterion","The name of the criterion ('/cac:TenderingCriterion/cbc:Name') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-06","fatal","Common","Criterion","cac:TenderingCriterion","An extended description of the criterion ('/cac:TenderingCriterion/cbc:Description') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-07","fatal","Common","Criterion","cac:TenderingCriterion","The Tendering Criterion, which 'cac:TenderingCriterion/cbc:ID =', has '' missing 'cac:TenderingCriterionPropertyGroup' element(s).","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-09","fatal","Common","Criterion","cac:Legislation","The complete title of the legislation (/cac:TenderingCriterion/cac:Legislation/cbc:Title') provided is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-10","warning","Common","Criterion","cac:Legislation","The description of the legislation (/cac:TenderingCriterion/cac:Legislation/cbc:Description') provided in the original legal text SHOULD be provided.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-11","warning","Common","Criterion","cac:Legislation","Other articles where the Criterion is referred to (/cac:TenderingCriterion/cac:Legislation/cbc:Article') SHOULD also be provided.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-12","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","The identifier of a group of requirements ('/cbc:ID') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-13","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","Compulsory use of the UUIDs supplied by e-Certis. The('[cbc:ID = '']/[cbc:ID = '']') does not exist in e-Certis.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-14","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","Code addressed to control the behavior of the group of criteria ('/cbc:PropertyGroupTypeCode') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-15-01","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","The property group type code should match the one from e-Certis. The tendering criterion property group ('') does not exisit in the e-Certis for the following element '[cbc:ID = '']/[cbc:ID = ''].","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-15-02","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","The property group type code should match the one from e-Certis. The subtendering criterion property group ('') does not exisit in the e-Certis for the following element '[cbc:ID = '']/[cbc:ID = ''].","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-16-01","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","The tendering criterion property group ('[cbc:ID = '']/[cbc:ID = '']') has '' missing 'cac:TenderingCriterionProperty' element(s).","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-16-02","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","The subtendering criterion property group ('[cbc:ID = '']/[cbc:ID = '']') has '' missing 'cac:TenderingCriterionProperty' element(s).","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-17-01","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","The tendering criterion property group ('[cbc:ID = '']/[cbc:ID = '']') has '' missing 'cac:SubsidiaryTenderingCriterionPropertyGroup' element(s).","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-17-02","fatal","Common","Criterion","cac:TenderingCriterionPropertyGroup | cac:SubsidiaryTenderingCriterionPropertyGroup","The subtendering criterion property group ('[cbc:ID = '']/[cbc:ID = '']') has '' missing 'cac:SubsidiaryTenderingCriterionPropertyGroup' element(s).","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-18","fatal","Common","Criterion","cac:TenderingCriterionProperty","The identifier of a specific property ('/cbc:ID') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-19","fatal","Common","Criterion","cac:TenderingCriterionProperty","The text of the caption, requirement or question ('/cbc:Description') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-20","fatal","Common","Criterion","cac:TenderingCriterionProperty","The type of property ('/cbc:TypeCode') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-20-02","fatal","Common","Criterion","cac:TenderingCriterionProperty","The tendering criterion property group ('The tendering criterion property type code should match the one from e-Certis. The, which 'cbc:ID =', does not have a '/cac:TenderingCriterionProperty[cbc:ID =]/cbc:TypeCode =' defined in e-Certis.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-21-01","fatal","Common","Criterion","cac:TenderingCriterionProperty","The type of answer expected by the contracting authority ('/cbc:ValueDataTypeCode') is mandatory.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TC-21-03","fatal","Common","Criterion","cac:TenderingCriterionProperty","The tendering criterion property value data type should match the one from e-Certis. The, which 'cbc:ID =', does not have a '/cac:TenderingCriterionProperty[cbc:ID =]/cbc:ValueDataTypeCode =' defined in e-Certis.","common/sch/03-ESPD-common-criterion-br.sch"
"BR-TCR-01-01","fatal","Response","Criterion","cac:TenderingCriterionResponse","A cross-reference ('/cbc:ValidatedCriterionPropertyID') to the criterion property is mandatory.","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-01-02","fatal","Response","Criterion","cac:TenderingCriterionResponse","The criterion response ('cbc:ValidatedCriterionPropertyID' = '') does not have a cross-reference to a criterion property ('cac:TenderingCriterionProperty/cbc:ID').","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-03","fatal","Response","Criterion","cac:TenderingCriterionResponse","One and only one response element ('/cac:ResponseValue', '/cac:ApplicablePeriod' or '/cac:EvidenceSupplied') per criterion response ('/cac:TenderingCriterionResponse/cbc:ValidatedCriterionPropertyID =') is mandatory.","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-04","fatal","Response","Criterion","cac:TenderingCriterionResponse","Only one sub-element within '/cac:TenderingCriterionResponse/cac:ResponseValue' is admitted at the same time. The criteria response ('/cac:TenderingCriterionResponse/cbc:ValidatedCriterionPropertyID =') has '' sub-element(s).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-06-01","fatal","Response","Criterion","cac:SubsidiaryTenderingCriterionPropertyGroup[cbc:PropertyGroupTypeCode = 'ONTRUE']/cac:TenderingCriterionProperty","As the response '' is TRUE and the property group is codified as ONTRUE, 'cbc:ID =' must be answered as well.","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-06-02","fatal","Response","Criterion","cac:SubsidiaryTenderingCriterionPropertyGroup[cbc:PropertyGroupTypeCode = 'ONTRUE']/cac:TenderingCriterionProperty","As the response '' is FALSE but the property group is codified as ONTRUE, 'cbc:ID =' must not be answered.","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-07-01","fatal","Response","Criterion","cac:SubsidiaryTenderingCriterionPropertyGroup[cbc:PropertyGroupTypeCode = 'ONFALSE']/cac:TenderingCriterionProperty","As the response '' is FALSE and the property group is codified as ONFALSE, 'cbc:ID =' must be answered as well.","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-07-02","fatal","Response","Criterion","cac:SubsidiaryTenderingCriterionPropertyGroup[cbc:PropertyGroupTypeCode = 'ONFALSE']/cac:TenderingCriterionProperty","As the response '' is TRUE but the property group is codified as ONFALSE, 'cbc:ID =' must not be answered.","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-01","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'AMOUNT' ('cac:ResponseValue/cbc:ResponseAmount' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-02","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'CODE' ('cac:ResponseValue/cbc:ResponseCode' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
